prev_ictv_id	next_ictv_id	is_merged	is_split	dist	rev_count
20165152	20165152	0	0	0	0
20165153	20165153	0	0	0	0
20165154	20165154	0	0	0	0
20165155	20165155	0	0	0	0
20165156	20165156	0	0	0	0
20165157	20165157	0	0	0	0
20165158	20165158	0	0	0	0
20165159	20165159	0	0	0	0
20165160	20165160	0	0	0	0
20165161	20165161	0	0	0	0
20165162	20165162	0	0	0	0
20165163	20165163	0	0	0	0
20165164	20165164	0	0	0	0
20165165	20165165	0	0	0	0
20165166	20165166	0	0	0	0
20165167	20165167	0	0	0	0
20165168	20165168	0	0	0	0
20165169	20165169	0	0	0	0
20165170	20165170	0	0	0	0
20165171	20165171	0	0	0	0
20165172	20165172	0	0	0	0
20165173	20165173	0	0	0	0
20165174	20165174	0	0	0	0
20165175	20165175	0	0	0	0
20165176	20165176	0	0	0	0
20165177	20165177	0	0	0	0
20165178	20165178	0	0	0	0
20165179	20165179	0	0	0	0
20165180	20165180	0	0	0	0
20165181	20165181	0	0	0	0
20165182	20165182	0	0	0	0
20165183	20165183	0	0	0	0
20165184	20165184	0	0	0	0
20165185	20165185	0	0	0	0
20165186	20165186	0	0	0	0
20165187	20165187	0	0	0	0
20165188	20165188	0	0	0	0
20165189	20165189	0	0	0	0
20165190	20165190	0	0	0	0
20165191	20165191	0	0	0	0
20165192	20165192	0	0	0	0
20165193	20165193	0	0	0	0
20165194	20165194	0	0	0	0
20165195	20165195	0	0	0	0
20165196	20165196	0	0	0	0
20165197	20165197	0	0	0	0
20165198	20165198	0	0	0	0
20165199	20165199	0	0	0	0
20165200	20165200	0	0	0	0
20165201	20165201	0	0	0	0
20165202	20165202	0	0	0	0
20165203	20165203	0	0	0	0
20165204	20165204	0	0	0	0
20165205	20165205	0	0	0	0
20165206	20165206	0	0	0	0
20165207	20165207	0	0	0	0
20165208	20165208	0	0	0	0
20165209	20165209	0	0	0	0
20165210	20165210	0	0	0	0
20165211	20165211	0	0	0	0
20165212	20165212	0	0	0	0
20165213	20165213	0	0	0	0
20165214	20165214	0	0	0	0
20165215	20165215	0	0	0	0
20165216	20165216	0	0	0	0
20165217	20165217	0	0	0	0
20165218	20165218	0	0	0	0
20165219	20165219	0	0	0	0
20165220	20165220	0	0	0	0
20165221	20165221	0	0	0	0
20165222	20165222	0	0	0	0
